repo,merge,commits_p1,commits_p2,files_p1,files_p2,overlap_files,overlap_ratio,authors_p1,authors_p2,churn_p1,churn_p2,conflict_files,code_conflict,label
commons-collections,26e733fec01a7edaacbaf4e1651deeddc99b2b85,1,3,1,2,0,0.0,1,1,25,9,,0,0
commons-collections,57c9348430907a62a593f8ab4785d75cd3c6f8f1,1,3,6,4,0,0.0,1,1,18,18,,0,0
commons-collections,720c9e5c9630cecb9e8267029de86ea23a3aa2c9,1,4,1,6,0,0.0,1,3,8,97,,0,0
commons-collections,09dd28409ef1ccc1182108274575087cb40b1a58,1,2,2,2,0,0.0,1,1,12,4,,0,0
commons-collections,d28a7fba0b7197356100ae3cdd4f26e61ca9ce82,1,1,1,1,0,0.0,1,1,23,67,,0,0
commons-collections,ae7219445dc063e9cc090e338fae1d7ec3bfcbe4,2,4,1,4,0,0.0,1,3,2,10,,0,0
commons-collections,36b23c5455d607443e740d935463a2279c9a00c7,1,2,1,1,0,0.0,1,2,2,2,,0,0
commons-collections,8279d9ba4618259536a9cd16edbab83723a4f4b3,1,2,2,64,0,0.0,1,1,4,350,,0,0
commons-collections,9bbfad5db3a0dc5a7f354e014249ecce5dfb3a60,1,1,7,1,0,0.0,1,1,52,2,,0,0
commons-collections,4a398f54ae96f391155563a10227eed4d904ddbe,1,3,1,6,1,0.1667,1,1,3,22,,0,0
commons-collections,6f74aef97bb67250debb68a5f3d380f77c5dec3d,1,2,1,2,0,0.0,1,1,2,10,,0,0
commons-collections,ebc66db42635b901a5dce7f5286ba3b2427fc119,16,2,23,14,1,0.0278,3,1,545,246,,0,0
commons-collections,c811f541aa74d111cb731736bdfc6071a2084c7c,4,8,4,6,0,0.0,3,1,34,309,,0,0
commons-collections,5e9b391ce2581603a19ca8fb63a9bf96471e8b31,1,2,2,10,0,0.0,1,2,152,59,,0,0
commons-collections,4e0fb4f8091088d7a331a1f29835463209f62fc0,1,1,1,3,0,0.0,1,1,2,6,,0,0
commons-collections,4984c960728eda95baa4253748e96f2d4ec9fac9,1,2,2,2,0,0.0,1,1,10,8,,0,0
commons-collections,e77c1d875ef3ac4a07c967e88c5b46a4597339c0,1,1,1,1,0,0.0,1,1,1,2,,0,0
commons-collections,bdfbbcdca2e5487caab92743bff4c4ae8fe86eee,1,1,2,2,2,1.0,1,1,4,3,,0,0
commons-collections,4a980fadc47e1983a7435ec4666763bd8bdea205,5,1,3,1,0,0.0,1,1,340,2,,0,0
commons-collections,70fba6c8e0f82e247c04cb1fbba1233241a081fa,1,1,1,1,0,0.0,1,1,3,2,,0,0
commons-collections,ac61e06bc174b3571364278feef3a6973d98d0c3,30,1,9,1,0,0.0,6,1,160,2,,0,0
commons-collections,4d4caa6a92797835ed46d4f8aff361ecf0ad1a18,7,1,3,1,0,0.0,3,1,228,202,,0,0
commons-collections,5907d36b262c9e696c32c5ec942535e718002432,5,1,3,1,1,0.3333,3,1,150,78,,0,0
commons-collections,ff178a3b63e777408f712f6039c07441f307ba45,3,1,2,1,0,0.0,2,1,114,36,,0,0
commons-collections,181fe9c708624f9418777c885eb1653a05708294,1,1,4,1,1,0.25,1,1,668,2,,0,0
commons-collections,dd69cc72dc7bc269dc36b46f9cc8225aabd2ee8e,1,1,1,3,0,0.0,1,1,3,14,,0,0
commons-collections,98293b24bde29f0cf76f1f52d30b9519c11f5686,1,1,2,1,0,0.0,1,1,5,4,,0,0
